belt_id,obstacle_id,clearance_mm,intersection_count,status,authority
LEFT_DRIVE_BELT,FRAME,4.75,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,FASTENERS,3.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,SUPPORT_PLATES,3.5,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,WIRING,40.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,SENSORS,30.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,CLUTCH_ACTUATOR,10.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,BOX_SUPPORT,20.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_DRIVE_BELT,TRACK_DYNAMIC,0.5,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,FRAME,4.75,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,FASTENERS,3.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,SUPPORT_PLATES,3.5,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,WIRING,40.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,SENSORS,30.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,CLUTCH_ACTUATOR,10.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,BOX_SUPPORT,20.0,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
RIGHT_DRIVE_BELT,TRACK_DYNAMIC,0.5,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
LEFT_PTO_BELT,FRAME,4.75,0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_ENVELOPE_NOT_PHYSICAL_MEASUREMENT
